learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
280000.0,15.515625,1.0449566567937532E-5,280000.0,82.39999999999999,4.712404712404735,36.231884057971,-6.0240963855421725,280000.0,3891216.0,331.0,166.0,166.0,41.0,0.0,0.0,1.0
290000.0,16.0625,1.1053157051921717E-5,290000.0,84.8,1.2435515937471389,39.4422310756972,-2.013422818791948,290000.0,4266352.0,345.0,173.0,173.0,44.0,0.0,0.0,1.0
300000.0,16.609375,1.1696303360319384E-5,300000.0,85.39999999999999,-0.7841837861718757,38.65546218487394,-2.8169014084507062,300000.0,4545944.0,355.0,178.0,178.0,46.0,0.0,0.0,1.0
310000.0,17.203125,1.2444215018250461E-5,310000.0,84.2,15.557693335471095,44.366197183098585,4.242424242424246,310000.0,4869104.0,367.0,184.0,184.0,48.0,0.0,0.0,1.0
320000.0,17.8125,1.3238765984877116E-5,320000.0,86.5,10.191591271953166,38.636363636363626,-8.870967741935491,320000.0,5040104.0,375.0,188.0,188.0,50.0,0.0,0.0,1.0
330000.0,18.46875,1.4141643833782937E-5,330000.0,83.8,1.0832000195390858,37.20930232558138,-1.88679245283019,330000.0,5318168.0,385.0,193.0,193.0,51.0,0.0,0.0,1.0
340000.0,19.1875,1.5199952370797594E-5,340000.0,84.5,1.0115976089511247,38.49206349206348,-2.6490066225165583,340000.0,5691632.0,399.0,200.0,200.0,53.0,0.0,0.0,1.0
350000.0,19.921875,1.6319334196547668E-5,350000.0,86.0,-0.39584648040854536,40.928270042194086,-1.449275362318842,350000.0,5892000.0,411.0,206.0,206.0,55.0,0.0,0.0,1.0
360000.0,20.828125,1.7769168933025665E-5,360000.0,85.5,0.398406374502009,41.05691056910568,-2.11267605633803,360000.0,6184048.0,419.0,210.0,210.0,57.0,0.0,0.0,1.0
370000.0,21.84375,1.9491154461219494E-5,370000.0,84.6,1.9108280254777084,40.31007751937984,-2.6666666666666687,370000.0,6553880.0,429.0,215.0,215.0,58.0,0.0,0.0,1.0
380000.0,22.796875,2.1220029609846987E-5,380000.0,83.89999999999999,11.60839775122982,41.02564102564102,1.829268292682928,380000.0,7011584.0,449.0,225.0,225.0,60.0,0.0,0.0,1.0
